"Deine Klassenstufe/Lehrer","In welche Shops/Läden würdest du vorzugsweise gehen? ","Was würdest du in einem Fast Food-Restaurant bestellen","Was würdest du beim Bäcker bestellen?","Was würdest du im Kasino vorzugsweise spielen?","Was würdest du dir in einem Fanartikel-Shop kaufen?","Was würdest du dir in einem Sportladen kaufen?","Was ist deine Lieblingsfarbe?","Was würdest du eher in einem Webshop herunterladen?","Timestamp","Zuletzt aktualisiert","Erstellt von","Aktualisiert von","Entwurf","IP-Adresse","ID","Schlüssel"
"5-6","Bäcker","Dinokeule (Chicken Nuggets)","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","PNG (Ein Bild)","2019-05-10 07:23:15","2019-05-10 07:23:15","","","0","","867","7ls42"
"5-6","Sportladen","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:22:45","2019-05-10 07:22:45","","","0","","866","fipnl"
"5-6","Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:22:16","2019-05-10 07:22:16","","","0","","864","6ff7i"
"5-6","Sportladen","Dinokeule (Chicken Nuggets)","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:22:38","2019-05-10 07:22:38","","","0","","865","tusp4"
"5-6","Sportladen","Currywurst","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:22:08","2019-05-10 07:22:08","","","0","","863","kqgd6"
"5-6","Fast Food-Restaurant","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 07:22:03","2019-05-10 07:22:03","","","0","","861","9q48"
"5-6","Supermarkt","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:22:05","2019-05-10 07:22:05","","","0","","862","boahp"
"5-6","Sportladen","Pommes","Franzbrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 07:21:53","2019-05-10 07:21:53","","","0","","859","twsn7"
"5-6","Sportladen","Dinokeule (Chicken Nuggets)","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:21:56","2019-05-10 07:21:56","","","0","","860","75vk8"
"5-6","Bäcker, Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:21:29","2019-05-10 07:21:29","","","0","","858","xbsui"
"5-6","Bäcker, Sportladen, Supermarkt","Fleischklopsbrötchen (Boulette/Frikadelle)","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:21:13","2019-05-10 07:21:13","","","0","","857","pnob0"
"5-6","Sportladen","Veganer Salat","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:21:00","2019-05-10 07:21:00","","","0","","856","qgii6"
"5-6","Fast Food-Restaurant","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Rot","MP3 (Einen Song)","2019-05-10 07:20:44","2019-05-10 07:20:44","","","0","","855","8ywta"
"5-6","Fast Food-Restaurant, Bäcker, Kasino, Fanartikel-Shop, Sportladen, Supermarkt, Webshop","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:20:36","2019-05-10 07:20:36","","","0","","854","1ihe5"
"5-6","Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:19:29","2019-05-10 07:19:29","","","0","","852","5iv84"
"5-6","Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:20:01","2019-05-10 07:20:01","","","0","","853","tnuk7"
"5-6","Bäcker","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Violett","MP3 (Einen Song)","2019-05-10 07:19:26","2019-05-10 07:19:26","","","0","","851","tfl5w"
"5-6","Fast Food-Restaurant","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:19:20","2019-05-10 07:19:20","","","0","","850","mxuiq"
"5-6","Fanartikel-Shop","Pommes","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:19:09","2019-05-10 07:19:09","","","0","","848","8ufgm"
"5-6","Kasino, Sportladen, Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:19:20","2019-05-10 07:19:20","","","0","","849","uukng"
"9-10","Fast Food-Restaurant, Fanartikel-Shop, Supermarkt","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:13:30","2019-05-10 07:13:30","","","0","","847","ay1tn"
"9-10","Sportladen","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:12:06","2019-05-10 07:12:06","","","0","","844","ikm94"
"9-10","Fast Food-Restaurant, Bäcker, Supermarkt, Webshop","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:12:15","2019-05-10 07:12:15","","","0","","845","z410c"
"9-10","Fast Food-Restaurant, Fanartikel-Shop, Supermarkt","Burger","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","PNG (Ein Bild)","2019-05-10 07:12:47","2019-05-10 07:12:47","","","0","","846","vav6u"
"5-6","Sportladen","Fleischklopsbrötchen (Boulette/Frikadelle)","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Taucher-Set","Blau","PNG (Ein Bild)","2019-05-09 10:00:07","2019-05-09 10:00:07","","","0","","794","2egz1"
"5-6","Fast Food-Restaurant, Supermarkt","Pommes","Salamibrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 10:00:17","2019-05-09 10:00:17","","","0","","795","rpm1v"
"5-6","Fanartikel-Shop, Sportladen","Pommes","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 10:00:30","2019-05-09 10:00:30","","","0","","796","dkyzf"
"5-6","Fast Food-Restaurant","Pommes","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","PNG (Ein Bild)","2019-05-09 10:00:36","2019-05-09 10:00:36","","","0","","797","muuhh"
"5-6","Fast Food-Restaurant, Fanartikel-Shop","Currywurst","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-10 06:53:59","2019-05-10 06:53:59","","","0","","798","22r9j"
"5-6","Supermarkt","Currywurst","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 06:54:26","2019-05-10 06:54:26","","","0","","799","ys61r"
"5-6","Bäcker, Sportladen, Webshop","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 06:54:38","2019-05-10 06:54:38","","","0","","800","7y9vn"
"5-6","Fanartikel-Shop","Currywurst","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 06:54:38","2019-05-10 06:54:38","","","0","","801","kcnx9"
"5-6","Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 06:54:46","2019-05-10 06:54:46","","","0","","802","o9v9d"
"5-6","Bäcker","Fleischklopsbrötchen (Boulette/Frikadelle)","Franzbrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 06:54:51","2019-05-10 06:54:51","","","0","","803","56f1v"
"5-6","Bäcker","Pommes","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-10 06:54:52","2019-05-10 06:54:52","","","0","","804","7wc3i"
"5-6","Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 06:55:14","2019-05-10 06:55:14","","","0","","805","icyla"
"5-6","Sportladen","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","PNG (Ein Bild)","2019-05-10 06:55:20","2019-05-10 06:55:20","","","0","","806","py9kf"
"5-6","Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 06:55:26","2019-05-10 06:55:26","","","0","","807","2w2bs"
"5-6","Bäcker","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 06:55:32","2019-05-10 06:55:32","","","0","","808","aenqy"
"5-6","Fast Food-Restaurant, Fanartikel-Shop, Supermarkt","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 06:55:34","2019-05-10 06:55:34","","","0","","809","9ieet"
"5-6","Bäcker","Currywurst","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 06:56:00","2019-05-10 06:56:00","","","0","","810","ewn19"
"5-6","Fast Food-Restaurant","Burger","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 06:56:10","2019-05-10 06:56:10","","","0","","811","4gk9w"
"5-6","Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 06:56:16","2019-05-10 06:56:16","","","0","","812","1wtb7"
"5-6","Fanartikel-Shop","Currywurst","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 06:56:18","2019-05-10 06:56:18","","","0","","813","e6co0"
"5-6","Fast Food-Restaurant","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Rot","MP3 (Einen Song)","2019-05-10 06:56:29","2019-05-10 06:56:29","","","0","","814","sh50q"
"5-6","Bäcker","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 06:56:43","2019-05-10 06:56:43","","","0","","815","7ervg"
"5-6","Fast Food-Restaurant","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 06:57:10","2019-05-10 06:57:10","","","0","","816","o8dlm"
"5-6","Sportladen, Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","PNG (Ein Bild)","2019-05-10 06:57:25","2019-05-10 06:57:25","","","0","","817","kq9ut"
"5-6","Fanartikel-Shop","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 06:57:53","2019-05-10 06:57:53","","","0","","818","abtvx"
"5-6","Bäcker, Supermarkt","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 06:57:57","2019-05-10 06:57:57","","","0","","819","jupu0"
"5-6","Bäcker","Veganer Salat","Franzbrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Blau","PNG (Ein Bild)","2019-05-10 06:58:18","2019-05-10 06:58:18","","","0","","820","dx1rw"
"5-6","Sportladen","Dinokeule (Chicken Nuggets)","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 06:58:48","2019-05-10 06:58:48","","","0","","821","xycyt"
"5-6","Sportladen","Pommes","Franzbrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 06:58:57","2019-05-10 06:58:57","","","0","","822","z4ktv"
"5-6","Fast Food-Restaurant","Dinokeule (Chicken Nuggets)","Franzbrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-10 07:00:03","2019-05-10 07:00:03","","","0","","823","ec1fu"
"5-6","Fast Food-Restaurant","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:00:07","2019-05-10 07:00:07","","","0","","824","btqx2"
"5-6","Webshop","Veganer Salat","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:00:19","2019-05-10 07:00:19","","","0","","825","ug092"
"5-6","Fast Food-Restaurant, Bäcker, Fanartikel-Shop, Sportladen, Webshop","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 07:00:27","2019-05-10 07:00:27","","","0","","826","oeg7c"
"5-6","Fast Food-Restaurant, Sportladen, Supermarkt","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","PNG (Ein Bild)","2019-05-10 07:02:01","2019-05-10 07:02:01","","","0","","827","z10tk"
"9-10","Fast Food-Restaurant, Sportladen, Supermarkt","Currywurst","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-10 07:07:54","2019-05-10 07:07:54","","","0","","828","drb8e"
"9-10","Bäcker","Pommes","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-10 07:08:05","2019-05-10 07:08:05","","","0","","829","a3mzd"
"9-10","Fast Food-Restaurant, Bäcker, Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:08:06","2019-05-10 07:08:06","","","0","","830","ztk9j"
"9-10","Fast Food-Restaurant, Bäcker, Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 07:08:10","2019-05-10 07:08:10","","","0","","831","6p4yg"
"9-10","Fast Food-Restaurant, Fanartikel-Shop, Sportladen, Webshop","Pommes","Salamibrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-10 07:08:59","2019-05-10 07:08:59","","","0","","832","7u8ks"
"9-10","Bäcker, Fanartikel-Shop, Supermarkt, Webshop","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","PNG (Ein Bild)","2019-05-10 07:09:18","2019-05-10 07:09:18","","","0","","833","swaof"
"9-10","Fast Food-Restaurant, Bäcker","Fleischklopsbrötchen (Boulette/Frikadelle)","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-10 07:09:21","2019-05-10 07:09:21","","","0","","834","6p01c"
"9-10","Fast Food-Restaurant, Fanartikel-Shop, Sportladen, Supermarkt, Webshop","Burger","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:09:27","2019-05-10 07:09:27","","","0","","835","pa1ph"
"9-10","Bäcker","Pommes","Franzbrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:09:45","2019-05-10 07:09:45","","","0","","836","pc3jt"
"9-10","Fast Food-Restaurant, Bäcker, Sportladen, Supermarkt","Currywurst","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:09:55","2019-05-10 07:09:55","","","0","","837","p5no8"
"9-10","Fast Food-Restaurant, Fanartikel-Shop, Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:10:28","2019-05-10 07:10:28","","","0","","838","77bqs"
"9-10","Bäcker","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:10:37","2019-05-10 07:10:37","","","0","","839","8rr9u"
"9-10","Bäcker","Pommes","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:11:16","2019-05-10 07:11:16","","","0","","840","qzm69"
"9-10","Fast Food-Restaurant, Bäcker, Supermarkt","Dinokeule (Chicken Nuggets)","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:11:17","2019-05-10 07:11:17","","","0","","841","ggjil"
"11","Fast Food-Restaurant, Fanartikel-Shop, Sportladen","Dinokeule (Chicken Nuggets)","Salamibrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","PNG (Ein Bild)","2019-05-10 07:11:50","2019-05-10 07:11:50","","","0","","842","db2hx"
"9-10","Bäcker, Sportladen","Dinokeule (Chicken Nuggets)","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:11:51","2019-05-10 07:11:51","","","0","","843","ya706"
"7-8","Sportladen, Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-09 08:48:19","2019-05-09 08:48:19","","","0","","652","jhl7k"
"7-8","Sportladen, Webshop","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 08:48:03","2019-05-09 08:48:03","","","0","","650","qebq4"
"7-8","Bäcker, Sportladen","Currywurst","Salamibrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 08:48:16","2019-05-09 08:48:16","","","0","","651","cng5r"
"7-8","Bäcker, Sportladen, Supermarkt","Burger","Salamibrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-09 08:47:38","2019-05-09 08:47:38","","","0","","649","eztj1"
"7-8","Sportladen","Dinokeule (Chicken Nuggets)","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","PNG (Ein Bild)","2019-05-09 08:47:31","2019-05-09 08:47:31","","","0","","648","3fa50"
"7-8","Fast Food-Restaurant, Bäcker, Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-09 08:47:29","2019-05-09 08:47:29","","","0","","647","xonxi"
"7-8","Fanartikel-Shop, Supermarkt","Pommes","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Taucher-Set","Grün","PNG (Ein Bild)","2019-05-09 08:47:27","2019-05-09 08:47:27","","","0","","646","b36gp"
"7-8","Supermarkt","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","PNG (Ein Bild)","2019-05-09 08:47:17","2019-05-09 08:47:17","","","0","","643","s1mz9"
"7-8","Sportladen","Burger","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","PNG (Ein Bild)","2019-05-09 08:47:24","2019-05-09 08:47:24","","","0","","645","zah6s"
"7-8","Fast Food-Restaurant, Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 08:47:21","2019-05-09 08:47:21","","","0","","644","cr2r4"
"7-8","Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 08:47:17","2019-05-09 08:47:17","","","0","","642","d8yw8"
"7-8","Supermarkt","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 08:45:26","2019-05-09 08:45:26","","","0","","639","z7tvk"
"7-8","Fast Food-Restaurant","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","PNG (Ein Bild)","2019-05-09 08:45:31","2019-05-09 08:45:31","","","0","","640","ywf0d"
"7-8","Fast Food-Restaurant","Burger","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 08:47:16","2019-05-09 08:47:16","","","0","","641","mkmme"
"7-8","Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 08:45:15","2019-05-09 08:45:15","","","0","","638","qpu8j"
"7-8","Supermarkt","Burger","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-07 12:56:17","2019-05-07 12:56:17","","","0","","636","tkt88"
"11","Bäcker, Sportladen","Currywurst","Franzbrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-09 08:31:18","2019-05-09 08:31:18","","","0","","637","ynmeu"
"9-10","Bäcker, Fanartikel-Shop","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-07 12:48:23","2019-05-07 12:48:23","hancl","hancl","0","","635","sgbz3"
"5-6","Fast Food-Restaurant, Bäcker, Kasino, Fanartikel-Shop, Sportladen, Supermarkt, Webshop","Veganer Salat","Salamibrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","PNG (Ein Bild)","2019-05-09 09:59:43","2019-05-09 09:59:43","","","0","","791","44j0n"
"5-6","Bäcker","Dinokeule (Chicken Nuggets)","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:59:44","2019-05-09 09:59:44","","","0","","792","r7vhd"
"5-6","Fast Food-Restaurant, Sportladen","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 10:00:00","2019-05-09 10:00:00","","","0","","793","2jlip"
"5-6","Kasino","Burger","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:59:20","2019-05-09 09:59:20","","","0","","790","6g3x9"
"5-6","Fast Food-Restaurant","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:59:12","2019-05-09 09:59:12","","","0","","789","5t18u"
"5-6","Kasino, Fanartikel-Shop, Sportladen, Supermarkt, Webshop","Dinokeule (Chicken Nuggets)","Salamibrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","PNG (Ein Bild)","2019-05-09 09:58:58","2019-05-09 09:58:58","","","0","","788","g9mpe"
"5-6","Fast Food-Restaurant, Sportladen, Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-09 09:58:46","2019-05-09 09:58:46","","","0","","787","anvhp"
"5-6","Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:58:39","2019-05-09 09:58:39","","","0","","786","hl90e"
"5-6","Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Rot","MP3 (Einen Song)","2019-05-09 09:58:18","2019-05-09 09:58:18","","","0","","785","sqvv9"
"5-6","Bäcker, Kasino, Fanartikel-Shop, Sportladen, Supermarkt, Webshop","Pommes","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:58:03","2019-05-09 09:58:03","","","0","","783","zcnxo"
"5-6","Fast Food-Restaurant, Bäcker, Sportladen, Supermarkt","Dinokeule (Chicken Nuggets)","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:58:09","2019-05-09 09:58:09","","","0","","784","sx244"
"5-6","Sportladen","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-09 09:57:52","2019-05-09 09:57:52","","","0","","782","ma9ge"
"5-6","Fast Food-Restaurant","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-09 09:57:16","2019-05-09 09:57:16","","","0","","781","8fu6v"
